datedata,date,estimate
125,2020-05-05,2804.838698965782
126,2020-05-06,2724.7417548664152
127,2020-05-07,2646.883004224452
128,2020-05-08,2571.2013382901964
129,2020-05-09,2497.6372756580604
130,2020-05-10,2426.132920083389
131,2020-05-11,2356.6319193610416
132,2020-05-12,2289.0794252398555
133,2020-05-13,2223.4220543477295
134,2020-05-14,2159.607850102653
135,2020-05-15,2097.586245585597
136,2020-05-16,2037.3080273517355
137,2020-05-17,1978.725300157042
138,2020-05-18,1921.7914525778301
139,2020-05-19,1866.4611235013422
140,2020-05-20,1812.6901694660176
141,2020-05-21,1760.4356328305628
142,2020-05-22,1709.655710751454
143,2020-05-23,1660.3097249489772
144,2020-05-24,1612.3580922423887
145,2020-05-25,1565.762295835239
146,2020-05-26,1520.484857332352
147,2020-05-27,1476.4893094703962
148,2020-05-28,1433.7401695444116
149,2020-05-29,1392.202913513082
150,2020-05-30,1351.8439507659436
151,2020-05-31,1312.6305995361386
152,2020-06-01,1274.5310629426954
153,2020-06-02,1237.5144056467193
154,2020-06-03,1201.5505311062377
155,2020-06-04,1166.6101594148192
156,2020-06-05,1132.6648057094385
157,2020-06-06,1099.68675913341
158,2020-06-07,1067.649062340555
159,2020-06-08,1036.5254915270982
160,2020-06-09,1006.2905369781188
161,2020-06-10,976.9193841156937
162,2020-06-11,948.387895036188
163,2020-06-12,920.6725905244451
164,2020-06-13,893.7506325329291
165,2020-06-14,867.599807114159
166,2020-06-15,842.1985077950601
167,2020-06-16,817.5257193821299
168,2020-06-17,793.5610021865895
169,2020-06-18,770.2844766589516
170,2020-06-19,747.6768084226957
171,2020-06-20,725.7191936969914
172,2020-06-21,704.3933450986544
173,2020-06-22,683.6814778137632
174,2020-06-23,663.566296129593
175,2020-06-24,644.0309803177572
176,2020-06-25,625.0591738596654
177,2020-06-26,606.6349710056269
178,2020-06-27,588.7429046591407
179,2020-06-28,571.3679345781209
180,2020-06-29,554.4954358850075
181,2020-06-30,538.1111878779133
182,2020-07-01,522.201363135147
183,2020-07-02,506.7525169056452
184,2020-07-03,491.75157677802713
185,2020-07-04,477.1858326211661
186,2020-07-05,463.0429267893492
187,2020-07-06,449.31084458526465
188,2020-07-07,435.9779049742268
189,2020-07-08,423.0327515432095
190,2020-07-09,410.4643436984186
191,2020-07-10,398.2619480952907
192,2020-07-11,386.4151302949555
193,2020-07-12,374.9137466413486
194,2020-07-13,363.7479363533053
195,2020-07-14,352.908113826107
196,2020-07-15,342.3849611370908
197,2020-07-16,332.1694207500653
198,2020-07-17,322.25268841340846
199,2020-07-18,312.62620624685064
200,2020-07-19,303.28165601207064
201,2020-07-20,294.2109525623553
202,2020-07-21,285.4062374666914
203,2020-07-22,276.85987280377446
204,2020-07-23,268.56443512153425
205,2020-07-24,260.51270955788385
206,2020-07-25,252.6976841185109
207,2020-07-26,245.1125441076317
208,2020-07-27,237.75066670773347
209,2020-07-28,230.60561570442917
210,2020-07-29,223.67113635264772
211,2020-07-30,216.94115038047732
212,2020-07-31,210.40975112707278
213,2020-08-01,204.07119881112848
214,2020-08-02,197.9199159265074
215,2020-08-03,191.95048276170246
216,2020-08-04,186.15763303989115
217,2020-08-05,180.53624967642637
218,2020-08-06,175.08136065068683
219,2020-08-07,169.78813498928827
220,2020-08-08,164.65187885773295
221,2020-08-09,159.66803175765003
222,2020-08-10,154.83216282685092
223,2020-08-11,150.1399672394954
224,2020-08-12,145.58726270373273
225,2020-08-13,141.16998605424976
226,2020-08-14,136.88418993722337
227,2020-08-15,132.72603958523885
228,2020-08-16,128.69180967979807
