datedata,date,estimate
125,2020-05-05,214742.8386989658
126,2020-05-06,217467.5804538322
127,2020-05-07,220114.46345805665
128,2020-05-08,222685.66479634686
129,2020-05-09,225183.3020720049
130,2020-05-10,227609.4349920883
131,2020-05-11,229966.06691144934
132,2020-05-12,232255.14633668918
133,2020-05-13,234478.5683910369
134,2020-05-14,236638.17624113956
135,2020-05-15,238735.76248672517
136,2020-05-16,240773.0705140769
137,2020-05-17,242751.79581423395
138,2020-05-18,244673.58726681178
139,2020-05-19,246540.0483903131
140,2020-05-20,248352.73855977913
141,2020-05-21,250113.1741926097
142,2020-05-22,251822.82990336115
143,2020-05-23,253483.13962831013
144,2020-05-24,255095.49772055252
145,2020-05-25,256661.26001638777
146,2020-05-26,258181.7448737201
147,2020-05-27,259658.2341831905
148,2020-05-28,261091.97435273492
149,2020-05-29,262484.177266248
150,2020-05-30,263836.02121701394
151,2020-05-31,265148.65181655006
152,2020-06-01,266423.18287949276
153,2020-06-02,267660.69728513947
154,2020-06-03,268862.2478162457
155,2020-06-04,270028.85797566053
156,2020-06-05,271161.52278137
157,2020-06-06,272261.2095405034
158,2020-06-07,273328.85860284395
159,2020-06-08,274365.38409437105
160,2020-06-09,275371.67463134916
161,2020-06-10,276348.5940154648
162,2020-06-11,277296.981910501
163,2020-06-12,278217.65450102545
164,2020-06-13,279111.4051335584
165,2020-06-14,279979.00494067254
166,2020-06-15,280821.2034484676
167,2020-06-16,281638.7291678497
168,2020-06-17,282432.2901700363
169,2020-06-18,283202.5746466953
170,2020-06-19,283950.251455118
171,2020-06-20,284675.970648815
172,2020-06-21,285380.36399391363
173,2020-06-22,286064.0454717274
174,2020-06-23,286727.611767857
175,2020-06-24,287371.6427481747
176,2020-06-25,287996.7019220344
177,2020-06-26,288603.33689304
178,2020-06-27,289192.0797976991
179,2020-06-28,289763.4477322772
180,2020-06-29,290317.9431681622
181,2020-06-30,290856.0543560401
182,2020-07-01,291378.2557191752
183,2020-07-02,291885.0082360809
184,2020-07-03,292376.7598128589
185,2020-07-04,292853.94564548007
186,2020-07-05,293316.98857226945
187,2020-07-06,293766.2994168547
188,2020-07-07,294202.27732182894
189,2020-07-08,294625.31007337215
190,2020-07-09,295035.77441707056
